date,demand
2022-01-01,114
2022-01-02,98
2022-01-03,90
2022-01-04,92
2022-01-05,58
2022-01-06,66
2022-01-07,83
2022-01-08,108
2022-01-09,112
2022-01-10,72
2022-01-11,93
2022-01-12,92
2022-01-13,83
2022-01-14,96
2022-01-15,119
2022-01-16,103
2022-01-17,88
2022-01-18,72
2022-01-19,94
2022-01-20,84
2022-01-21,82
2022-01-22,106
2022-01-23,130
2022-01-24,83
2022-01-25,80
2022-01-26,81
2022-01-27,92
2022-01-28,91
2022-01-29,121
2022-01-30,122
2022-01-31,113
2022-02-01,83
2022-02-02,82
2022-02-03,78
2022-02-04,96
2022-02-05,132
2022-02-06,118
2022-02-07,79
2022-02-08,80
2022-02-09,98
2022-02-10,99
2022-02-11,97
2022-02-12,113
2022-02-13,124
2022-02-14,93
2022-02-15,95
2022-02-16,103
2022-02-17,95
2022-02-18,101
2022-02-19,124
2022-02-20,127
2022-02-21,102
2022-02-22,77
2022-02-23,91
2022-02-24,90
2022-02-25,88
2022-02-26,123
2022-02-27,144
2022-02-28,87
2022-03-01,109
2022-03-02,77
2022-03-03,94
2022-03-04,100
2022-03-05,136
2022-03-06,138
2022-03-07,109
2022-03-08,96
2022-03-09,95
2022-03-10,111
2022-03-11,99
2022-03-12,116
2022-03-13,119
2022-03-14,92
2022-03-15,109
2022-03-16,105
2022-03-17,112
2022-03-18,99
2022-03-19,136
2022-03-20,143
2022-03-21,102
2022-03-22,111
2022-03-23,98
2022-03-24,102
2022-03-25,102
2022-03-26,123
2022-03-27,144
2022-03-28,103
2022-03-29,109
2022-03-30,115
2022-03-31,115
2022-04-01,118
2022-04-02,139
2022-04-03,136
2022-04-04,110
2022-04-05,91
2022-04-06,95
2022-04-07,96
2022-04-08,101
2022-04-09,148
2022-04-10,133
2022-04-11,109
2022-04-12,130
2022-04-13,110
2022-04-14,124
2022-04-15,104
2022-04-16,143
2022-04-17,135
2022-04-18,113
2022-04-19,127
2022-04-20,97
2022-04-21,123
2022-04-22,121
2022-04-23,141
2022-04-24,131
2022-04-25,120
2022-04-26,113
2022-04-27,123
2022-04-28,120
2022-04-29,140
2022-04-30,148
2022-05-01,139
2022-05-02,124
2022-05-03,124
2022-05-04,138
2022-05-05,133
2022-05-06,127
2022-05-07,171
2022-05-08,139
2022-05-09,116
2022-05-10,113
2022-05-11,120
2022-05-12,108
2022-05-13,132
2022-05-14,152
2022-05-15,138
2022-05-16,114
2022-05-17,130
2022-05-18,136
2022-05-19,150
2022-05-20,162
2022-05-21,162
2022-05-22,145
2022-05-23,102
2022-05-24,131
2022-05-25,118
2022-05-26,123
2022-05-27,121
2022-05-28,157
2022-05-29,171
2022-05-30,131
2022-05-31,127
2022-06-01,117
2022-06-02,109
2022-06-03,124
2022-06-04,159
2022-06-05,181
2022-06-06,132
2022-06-07,142
2022-06-08,124
2022-06-09,116
2022-06-10,119
2022-06-11,152
2022-06-12,186
2022-06-13,121
2022-06-14,141
2022-06-15,120
2022-06-16,143
2022-06-17,136
2022-06-18,160
2022-06-19,161
2022-06-20,124
2022-06-21,137
2022-06-22,126
2022-06-23,117
2022-06-24,117
2022-06-25,164
2022-06-26,181
2022-06-27,134
2022-06-28,131
2022-06-29,135
2022-06-30,148
2022-07-01,135
2022-07-02,157
2022-07-03,175
2022-07-04,137
2022-07-05,150
2022-07-06,134
2022-07-07,117
2022-07-08,116
2022-07-09,182
2022-07-10,183
2022-07-11,130
2022-07-12,127
2022-07-13,149
2022-07-14,118
2022-07-15,121
2022-07-16,169
2022-07-17,157
2022-07-18,131
2022-07-19,129
2022-07-20,135
2022-07-21,148
2022-07-22,132
2022-07-23,169
2022-07-24,136
2022-07-25,130
2022-07-26,120
2022-07-27,116
2022-07-28,120
2022-07-29,126
2022-07-30,171
2022-07-31,144
2022-08-01,130
2022-08-02,124
2022-08-03,125
2022-08-04,141
2022-08-05,135
2022-08-06,175
2022-08-07,157
2022-08-08,120
2022-08-09,126
2022-08-10,131
2022-08-11,130
2022-08-12,115
2022-08-13,158
2022-08-14,160
2022-08-15,157
2022-08-16,149
2022-08-17,116
2022-08-18,123
2022-08-19,109
2022-08-20,149
2022-08-21,159
2022-08-22,140
2022-08-23,116
2022-08-24,117
2022-08-25,99
2022-08-26,122
2022-08-27,141
2022-08-28,148
2022-08-29,113
2022-08-30,122
2022-08-31,102
2022-09-01,105
2022-09-02,148
2022-09-03,137
2022-09-04,139
2022-09-05,144
2022-09-06,156
2022-09-07,107
2022-09-08,117
2022-09-09,125
2022-09-10,171
2022-09-11,138
2022-09-12,117
2022-09-13,129
2022-09-14,125
2022-09-15,115
2022-09-16,117
2022-09-17,132
2022-09-18,145
2022-09-19,115
2022-09-20,121
2022-09-21,111
2022-09-22,123
2022-09-23,129
2022-09-24,149
2022-09-25,151
2022-09-26,117
2022-09-27,116
2022-09-28,107
2022-09-29,119
2022-09-30,114
2022-10-01,170
2022-10-02,163
2022-10-03,119
2022-10-04,105
2022-10-05,100
2022-10-06,128
2022-10-07,116
2022-10-08,149
2022-10-09,122
2022-10-10,124
2022-10-11,118
2022-10-12,99
2022-10-13,106
2022-10-14,115
2022-10-15,142
2022-10-16,137
2022-10-17,109
2022-10-18,107
2022-10-19,112
2022-10-20,128
2022-10-21,79
2022-10-22,137
2022-10-23,141
2022-10-24,113
2022-10-25,104
2022-10-26,88
2022-10-27,112
2022-10-28,129
2022-10-29,120
2022-10-30,148
2022-10-31,104
2022-11-01,107
2022-11-02,95
2022-11-03,103
2022-11-04,123
2022-11-05,144
2022-11-06,157
2022-11-07,121
2022-11-08,112
2022-11-09,127
2022-11-10,111
2022-11-11,116
2022-11-12,132
2022-11-13,136
2022-11-14,97
2022-11-15,117
2022-11-16,91
2022-11-17,114
2022-11-18,103
2022-11-19,149
2022-11-20,144
2022-11-21,126
2022-11-22,113
2022-11-23,86
2022-11-24,104
2022-11-25,90
2022-11-26,128
2022-11-27,152
2022-11-28,112
2022-11-29,96
2022-11-30,92
2022-12-01,104
2022-12-02,89
2022-12-03,126
2022-12-04,138
2022-12-05,118
2022-12-06,111
2022-12-07,76
